"ANIO FISCAL","MES FISCAL","TIPO CONTRIBUYENTE","ACTIVIDAD ECONÓMICA","IMPUESTO CAUSADO (601)","IMP A PAGAR POR PERCEPCION (699)","IMP A PAGAR POR RETENCION (799)","TOTAL COMPRAS LOCALES E IMPORTAC (519)","TOTAL VENTAS Y EXPORTACIONES (419)"
"2011","1","SOCIEDADES","C105001","305217.81","223912.35","119719.28","1.643862766E7","2.097698386E7"
"2011","1","SOCIEDADES","C105002","18.0","18.0","14239.3","2367394.4","2731915.99"
"2011","1","SOCIEDADES","C105004","2708.48","2566.71","1172.79","516187.58","597586.08"
"2011","1","SOCIEDADES","C105005","1250020.72","1206166.16","303705.27","1.083220747E7","2.007612319E7"
"2011","1","SOCIEDADES","C105006","34441.58","34441.58","14352.84","4034333.47","4389052.91"
"2011","1","SOCIEDADES","C105009","57844.56","56308.89","12708.16","1964315.39","2561947.44"
"2011","1","SOCIEDADES","C105010","1.18","1.18","214.28","23449.98","30194.1"
"2011","1","SOCIEDADES","C107101","873135.52","598738.93","96574.72","8353584.02","1.607877257E7"
"2011","1","SOCIEDADES","C107102","208249.76","202136.72","23493.77","2508244.92","3571353.21"
"2011","1","SOCIEDADES","C107109","3190.5","3190.5","249.51","63110.89","61655.79"
"2011","1","SOCIEDADES","C110301","2829384.18","2829384.18","262670.86","1.533476255E7","3.623249859E7"
"2011","2","SOCIEDADES","C105001","246122.47","243929.95","141128.34","1.542964537E7","1.915336957E7"
"2011","2","SOCIEDADES","C105002","0.0","0.0","9820.2","1815953.09","2477328.31"
"2011","2","SOCIEDADES","C105004","2764.24","2632.3","2206.56","546014.22","630900.2"
"2011","2","SOCIEDADES","C105005","741760.11","734492.82","368877.27","1.633964086E7","2.06118851E7"
"2011","2","SOCIEDADES","C105006","34859.83","34750.98","14173.5","3608144.22","4246139.82"
"2011","2","SOCIEDADES","C105009","42388.54","41119.68","11638.04","1933959.28","2428161.32"
"2011","2","SOCIEDADES","C105010","0.0","0.0","904.69","16898.59","0.0"
"2011","2","SOCIEDADES","C107101","206587.07","185236.75","101164.03","9006221.95","1.106717226E7"
"2011","2","SOCIEDADES","C107102","200389.29","192562.26","23538.23","2368167.93","3440065.78"
"2011","2","SOCIEDADES","C107109","3712.85","3712.85","200.05","40898.43","53093.02"
"2011","2","SOCIEDADES","C110301","3149074.59","3098328.69","479865.5","1.645492587E7","4.065059676E7"
"2011","3","SOCIEDADES","C105001","136936.38","134735.51","128150.18","1.723445569E7","2.213256791E7"
"2011","3","SOCIEDADES","C105002","0.0","0.0","9951.93","1908749.88","2422131.02"
"2011","3","SOCIEDADES","C105004","2643.81","2540.93","2267.84","532813.73","665822.05"
"2011","3","SOCIEDADES","C105005","630250.95","594930.57","448819.78","1.875649975E7","2.255785313E7"
"2011","3","SOCIEDADES","C105006","32024.5","32007.58","16435.13","4084468.24","4879070.69"
"2011","3","SOCIEDADES","C105009","41403.02","39018.04","12848.41","1983127.4","2583498.6"
"2011","3","SOCIEDADES","C105010","0.0","0.0","8.07","224.35","0.0"
"2011","3","SOCIEDADES","C107101","160898.82","144006.71","127284.57","1.012673168E7","1.181463958E7"
"2011","3","SOCIEDADES","C107102","204091.41","197485.78","27971.9","2882151.02","3655058.62"
"2011","3","SOCIEDADES","C107109","5823.78","5788.84","138.62","45301.38","72323.87"
"2011","3","SOCIEDADES","C110301","2920974.46","2896405.41","1654039.37","2.554991316E7","4.757456274E7"
"2011","4","SOCIEDADES","C105001","272506.01","269595.03","132052.65","1.680585119E7","2.187564962E7"
"2011","4","SOCIEDADES","C105002","1893.47","0.0","10560.47","1727479.85","2178095.46"
"2011","4","SOCIEDADES","C105004","2282.15","2254.64","1024.75","520506.51","623280.75"
"2011","4","SOCIEDADES","C105005","785827.28","762889.25","438529.58","1.779489482E7","2.156396731E7"
"2011","4","SOCIEDADES","C105006","40148.32","40148.32","17452.33","3964337.48","4864313.25"
"2011","4","SOCIEDADES","C105009","42505.68","40775.84","12036.04","2026765.7","2572390.06"
"2011","4","SOCIEDADES","C105010","0.57","0.57","13.72","21832.2","28986.2"
"2011","4","SOCIEDADES","C107101","271550.75","254599.63","129100.6","1.058930162E7","1.305457298E7"
"2011","4","SOCIEDADES","C107102","232396.44","226455.92","29753.51","2757534.3","4027449.57"
"2011","4","SOCIEDADES","C107109","3422.26","3420.7","141.05","38816.99","53380.2"
"2011","4","SOCIEDADES","C110301","3467420.36","3467420.36","195511.22","1.331403516E7","3.970196738E7"
"2011","5","SOCIEDADES","C105001","178405.6","173159.6","139614.81","1.951457554E7","2.243587241E7"
"2011","5","SOCIEDADES","C105002","754.88","0.0","10767.8","1841186.64","1974632.93"
"2011","5","SOCIEDADES","C105004","2529.52","2507.69","1035.06","529569.78","675974.08"
"2011","5","SOCIEDADES","C105005","1000667.22","996695.65","451194.52","1.901810475E7","2.55458074E7"
"2011","5","SOCIEDADES","C105006","48126.15","47514.15","20701.07","4275601.51","4702504.19"
"2011","5","SOCIEDADES","C105009","40264.62","37842.33","14235.98","2178138.94","2705415.74"
"2011","5","SOCIEDADES","C105010","0.58","0.58","270.58","31469.49","27674.2"
"2011","5","SOCIEDADES","C107101","413447.29","394481.26","129163.92","1.1120542E7","1.48074049E7"
"2011","5","SOCIEDADES","C107102","273145.91","264425.52","23940.95","2868363.33","4387584.38"
"2011","5","SOCIEDADES","C107109","6434.98","6405.69","235.29","41220.28","76738.44"
"2011","5","SOCIEDADES","C110301","2801774.2","2760639.07","660085.42","2.159198829E7","4.192384288E7"
"2011","6","SOCIEDADES","C105001","310610.83","309164.68","149329.49","1.894291687E7","2.120171954E7"
"2011","6","SOCIEDADES","C105002","512.08","0.0","16221.67","1799444.51","2067768.88"
"2011","6","SOCIEDADES","C105004","2433.11","2170.66","1363.78","577464.6","721688.95"
"2011","6","SOCIEDADES","C105005","1054161.8","1050086.62","460529.55","1.698915382E7","2.392070721E7"
"2011","6","SOCIEDADES","C105006","32753.07","32753.07","19675.19","4762226.1","4567009.41"
"2011","6","SOCIEDADES","C105009","29820.57","28302.33","11733.88","2078648.95","2638917.7"
"2011","6","SOCIEDADES","C105010","0.59","0.59","162.22","21032.58","21694.2"
"2011","6","SOCIEDADES","C107101","686171.09","662945.58","138318.89","1.097165106E7","1.660744241E7"
"2011","6","SOCIEDADES","C107102","267451.13","256874.07","21902.82","2929940.99","4406648.9"
"2011","6","SOCIEDADES","C107109","4786.32","4786.32","360.5","47324.71","65410.88"
"2011","6","SOCIEDADES","C110301","3069107.59","2978338.14","395667.55","2.009339843E7","4.31922915E7"
"2011","7","SOCIEDADES","C105001","252339.06","251039.98","152001.7","1.738991667E7","1.973943979E7"
"2011","7","SOCIEDADES","C105002","582.49","0.0","35334.56","2150471.97","2132874.87"
"2011","7","SOCIEDADES","C105004","2759.21","2599.07","2778.9","624574.96","622725.96"
"2011","7","SOCIEDADES","C105005","589040.35","587916.56","491437.91","2.261442298E7","2.484490264E7"
"2011","7","SOCIEDADES","C105006","110802.49","110802.49","15262.55","4680338.25","5408525.27"
"2011","7","SOCIEDADES","C105009","31476.32","28721.22","10163.36","2109749.17","2665091.62"
"2011","7","SOCIEDADES","C105010","0.58","0.58","221.6","13205.16","13228.6"
"2011","7","SOCIEDADES","C107101","451585.47","430120.65","136936.13","1.263416375E7","1.592894516E7"
"2011","7","SOCIEDADES","C107102","247468.62","240342.42","28060.53","2959283.99","4321106.66"
"2011","7","SOCIEDADES","C107109","2983.36","2983.36","211.0","43629.2","53673.71"
"2011","7","SOCIEDADES","C110301","2505241.82","2432659.51","1087430.81","2.171325458E7","4.063011403E7"
"2011","8","SOCIEDADES","C105001","117603.01","116842.01","153171.08","1.878240566E7","2.150779979E7"
"2011","8","SOCIEDADES","C105002","474.44","0.0","13102.63","2777163.77","2093235.68"
"2011","8","SOCIEDADES","C105004","2423.44","2414.2","1118.01","574479.95","686248.54"
"2011","8","SOCIEDADES","C105005","1432567.59","1431399.73","482423.99","1.560138485E7","2.647396101E7"
"2011","8","SOCIEDADES","C105006","64432.66","64432.66","12599.74","4497051.38","4942681.48"
"2011","8","SOCIEDADES","C105009","37787.86","35757.51","12252.35","2033162.24","2748590.78"
"2011","8","SOCIEDADES","C105010","0.59","0.59","181.51","15005.2","15082.15"
"2011","8","SOCIEDADES","C107101","291905.16","270801.64","157337.21","1.270367134E7","1.492681232E7"
"2011","8","SOCIEDADES","C107102","260155.84","245296.81","29826.89","3131143.36","4579773.2"
"2011","8","SOCIEDADES","C107109","7420.89","7420.89","337.66","45214.71","85372.51"
"2011","8","SOCIEDADES","C110301","3197984.03","3188127.45","598029.81","2.176911032E7","4.653813744E7"
"2011","9","SOCIEDADES","C105001","216375.33","215247.81","158477.77","1.816589235E7","2.17171292E7"
"2011","9","SOCIEDADES","C105002","4445.72","0.0","21975.65","1970367.89","1793825.63"
"2011","9","SOCIEDADES","C105004","2584.98","2420.97","1474.52","571410.37","695834.75"
"2011","9","SOCIEDADES","C105005","580991.27","567496.35","873137.47","2.337914931E7","2.540835881E7"
"2011","9","SOCIEDADES","C105006","31066.5","31038.39","40505.1","5191115.13","4826890.73"
"2011","9","SOCIEDADES","C105009","29771.44","26432.63","11767.54","2243103.81","2714285.94"
"2011","9","SOCIEDADES","C105010","0.58","0.58","181.51","62076.96","10717.0"
"2011","9","SOCIEDADES","C107101","447286.29","421330.5","168983.13","1.375064786E7","1.610868364E7"
